participantId,condition,timeSinceStartup,correctNodeHit,keypressed,calibrationData,bubbleSize,numberNodes,targetNode,currentSelectedNode
1,,3.433793,,,noCalibrationDataSet,,0,,-1
1,,3.450633,,,noCalibrationDataSet,,0,,-1
1,,3.467481,,,noCalibrationDataSet,,0,,-1
1,,3.484327,,,noCalibrationDataSet,,0,,-1
1,,3.501182,,,noCalibrationDataSet,,0,,-1
1,,3.518148,,,noCalibrationDataSet,,0,,-1
1,,3.534887,,,noCalibrationDataSet,,0,,-1
1,,3.551726,,,noCalibrationDataSet,,0,,-1
1,,3.568578,,,noCalibrationDataSet,,0,,-1
1,,3.585481,,,noCalibrationDataSet,,0,,-1
1,,3.602285,,,noCalibrationDataSet,,0,,-1
1,,3.619146,,,noCalibrationDataSet,,0,,-1
1,,3.636115,,,noCalibrationDataSet,,0,,-1
1,,3.653164,,,noCalibrationDataSet,,0,,-1
1,,3.669827,,,noCalibrationDataSet,,0,,-1
1,,3.686644,,,noCalibrationDataSet,,0,,-1
1,,3.703647,,,noCalibrationDataSet,,0,,-1
1,,3.720224,,,noCalibrationDataSet,,0,,-1
1,,3.737601,,,noCalibrationDataSet,,0,,-1
1,,3.753913,,,noCalibrationDataSet,,0,,-1
1,,3.770776,,,noCalibrationDataSet,,0,,-1
1,,3.787624,,,noCalibrationDataSet,,0,,-1
1,,3.804463,,,noCalibrationDataSet,,0,,-1
1,,3.821706,,,noCalibrationDataSet,,0,,-1
1,,3.838571,,,noCalibrationDataSet,,0,,-1
1,,3.855245,,,noCalibrationDataSet,,0,,-1
1,,3.871856,,,noCalibrationDataSet,,0,,-1
1,,3.888704,,,noCalibrationDataSet,,0,,-1
1,,3.905547,,,noCalibrationDataSet,,0,,-1
1,,3.922411,,,noCalibrationDataSet,,0,,-1
1,,3.939257,,,noCalibrationDataSet,,0,,-1
1,,3.956114,,,noCalibrationDataSet,,0,,-1
1,,3.972951,,,noCalibrationDataSet,,0,,-1
1,,3.989798,,,noCalibrationDataSet,,0,,-1
1,,4.00665,,,noCalibrationDataSet,,0,,-1
1,,4.023538,,,noCalibrationDataSet,,0,,-1
1,,4.040356,,,noCalibrationDataSet,,0,,-1
1,,4.057204,,,noCalibrationDataSet,,0,,-1
1,,4.074097,,,noCalibrationDataSet,,0,,-1
1,,4.090898,,,noCalibrationDataSet,,0,,-1
1,,4.107757,,,noCalibrationDataSet,,0,,-1
1,,4.124594,,,noCalibrationDataSet,,0,,-1
1,,4.141466,,,noCalibrationDataSet,,0,,-1
1,,4.158298,,,noCalibrationDataSet,,0,,-1
1,,4.175156,,,noCalibrationDataSet,,0,,-1
1,,4.192016,,,noCalibrationDataSet,,0,,-1
1,,4.208848,,,noCalibrationDataSet,,0,,-1
1,,4.225721,,,noCalibrationDataSet,,0,,-1
1,,4.242556,,,noCalibrationDataSet,,0,,-1
1,,4.259563,,,noCalibrationDataSet,,0,,-1
1,,4.27623,,,noCalibrationDataSet,,0,,-1
1,,4.293534,,,noCalibrationDataSet,,0,,-1
1,,4.310275,,,noCalibrationDataSet,,0,,-1
1,EYE,4.401337,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.415191,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.426528,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.443571,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.460359,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.477152,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.495504,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.514666,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.52772,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.545119,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.562202,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.578303,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.59527,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.615524,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.62922,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.64558,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.662653,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.679399,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.69652,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.716474,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.730062,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.746696,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.763751,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.780518,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.797479,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.819089,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.83498,,,noCalibrationDataSet,10,150,70,-1
1,EYE,4.848013,,,noCalibrationDataSet,10,150,70,75
1,EYE,4.865352,,,noCalibrationDataSet,10,150,70,75
1,EYE,4.88186,,,noCalibrationDataSet,10,150,70,75
1,EYE,4.898875,,,noCalibrationDataSet,10,150,70,75
1,EYE,4.919098,,,noCalibrationDataSet,10,150,70,75
1,EYE,4.932586,,,noCalibrationDataSet,10,150,70,75
1,EYE,4.949617,,,noCalibrationDataSet,10,150,70,75
1,EYE,4.96594,,,noCalibrationDataSet,10,150,70,75
1,EYE,4.983019,,,noCalibrationDataSet,10,150,70,75
1,EYE,4.999759,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.019987,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.033516,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.050355,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.066971,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.084106,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.100956,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.121286,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.134609,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.151482,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.168095,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.185123,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.201973,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.223527,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.235666,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.252532,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.269843,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.286108,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.303293,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.323618,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.336788,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.353981,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.370454,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.387156,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.404169,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.424341,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.438268,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.454741,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.471581,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.488727,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.505641,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.525574,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.538918,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.555794,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.57265,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.590044,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.606132,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.62843,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.640333,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.657413,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.673853,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.690701,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.708205,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.727787,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.741186,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.757991,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.774838,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.791619,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.812245,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.825196,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.842353,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.859217,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.876007,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.892917,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.913003,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.9266,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.9437,,d,noCalibrationDataSet,10,150,70,75
1,EYE,5.96034,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.977096,,,noCalibrationDataSet,10,150,70,75
1,EYE,5.994076,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.015604,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.027584,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.044647,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.061446,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.078832,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.094967,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.11197,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.128791,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.145593,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.162478,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.179237,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.196048,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.213028,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.230086,,w,noCalibrationDataSet,10,150,70,75
