participantId,condition,timeSinceStartup,correctNodeHit,keypressed,calibrationData,bubbleSize,numberNodes,targetNode,currentSelectedNode,currentState,correctedEyeX,correctedEyeY,rawEyeX,rawEyeY
6,WITHCUSTOMCALIB,564.4424,,,noCalibrationDataSet,5,150,104,45,Training,1424.548,890.3817,1514.248,1002.752
6,WITHCUSTOMCALIB,564.4736,,,noCalibrationDataSet,5,150,104,45,Training,1424.548,890.3817,1514.248,1002.752
6,WITHCUSTOMCALIB,564.5091,,,noCalibrationDataSet,5,150,104,45,Training,1427.639,907.4836,1512.639,1028.859
6,WITHCUSTOMCALIB,564.5121,,,noCalibrationDataSet,5,150,104,45,Training,1405.836,894.4725,1492.996,1007.223
6,WITHCUSTOMCALIB,564.5382,,,noCalibrationDataSet,5,150,104,45,Training,1405.836,894.4725,1492.996,1007.223
6,WITHCUSTOMCALIB,564.5711,,,noCalibrationDataSet,5,150,104,45,Training,1405.836,894.4725,1492.996,1007.223
6,WITHCUSTOMCALIB,564.5746,,,noCalibrationDataSet,5,150,104,45,Training,1378.468,856.8733,1473.331,948.9296
6,WITHCUSTOMCALIB,564.6071,,,noCalibrationDataSet,5,150,104,45,Training,1378.468,856.8733,1473.331,948.9296
6,WITHCUSTOMCALIB,564.6387,,,noCalibrationDataSet,5,150,104,45,Training,1354.068,891.1237,1437.92,997.6395
6,WITHCUSTOMCALIB,564.6414,,,noCalibrationDataSet,5,150,104,45,Training,1371.719,922.6037,1447.758,1046.886
6,WITHCUSTOMCALIB,564.6714,,,noCalibrationDataSet,5,150,104,45,Training,1371.719,922.6037,1447.758,1046.886
6,WITHCUSTOMCALIB,564.7054,,,noCalibrationDataSet,5,150,104,45,Training,1371.719,922.6037,1447.758,1046.886
6,WITHCUSTOMCALIB,564.7089,,,noCalibrationDataSet,5,150,104,45,Training,1371.719,922.6037,1447.758,1046.886
6,WITHCUSTOMCALIB,564.7382,,,noCalibrationDataSet,5,150,104,45,Training,1371.719,922.6037,1447.758,1046.886
6,WITHCUSTOMCALIB,564.7695,,,noCalibrationDataSet,5,150,104,45,Training,1371.719,922.6037,1447.758,1046.886
6,WITHCUSTOMCALIB,564.7724,,,noCalibrationDataSet,5,150,104,45,Training,1371.719,922.6037,1447.758,1046.886
6,WITHCUSTOMCALIB,564.806,,,noCalibrationDataSet,5,150,104,45,Training,1371.719,922.6037,1447.758,1046.886
6,WITHCUSTOMCALIB,564.8106,,,noCalibrationDataSet,5,150,104,45,Training,1373.856,930.5481,1447.542,1059.276
6,WITHCUSTOMCALIB,564.8401,,,noCalibrationDataSet,5,150,104,45,Training,1304.542,911.5147,1377.858,1024.149
6,WITHCUSTOMCALIB,564.871,,,noCalibrationDataSet,5,150,104,45,Training,1347.56,935.9927,1417.201,1065.337
6,WITHCUSTOMCALIB,564.8735,,,noCalibrationDataSet,5,150,104,45,Training,1365.901,933.0632,1438.1,1062.441
6,WITHCUSTOMCALIB,564.908,,,noCalibrationDataSet,5,150,104,45,Training,1365.901,933.0632,1438.1,1062.441
6,WITHCUSTOMCALIB,564.9374,,,noCalibrationDataSet,5,150,104,45,Training,1364.122,929.3379,1437.377,1056.546
6,WITHCUSTOMCALIB,564.9402,,,noCalibrationDataSet,5,150,104,45,Training,1364.122,929.3379,1437.377,1056.546
6,WITHCUSTOMCALIB,564.9739,,,noCalibrationDataSet,5,150,104,45,Training,1364.122,929.3379,1437.377,1056.546
6,WITHCUSTOMCALIB,565.0052,,,noCalibrationDataSet,5,150,104,45,Training,1380.262,932.0259,1453.998,1062.126
6,WITHCUSTOMCALIB,565.0081,,,noCalibrationDataSet,5,150,104,45,Training,1383.454,933.6844,1456.909,1064.971
6,WITHCUSTOMCALIB,565.0384,,,noCalibrationDataSet,5,150,104,45,Training,1383.454,933.6844,1456.909,1064.971
6,WITHCUSTOMCALIB,565.0709,,,noCalibrationDataSet,5,150,104,45,Training,1349.974,896.3994,1431.979,1005.208
6,WITHCUSTOMCALIB,565.0732,,,noCalibrationDataSet,5,150,104,45,Training,1319.597,895.6689,1399.011,1001.504
6,WITHCUSTOMCALIB,565.1063,,,noCalibrationDataSet,5,150,104,45,Training,1319.597,895.6689,1399.011,1001.504
6,WITHCUSTOMCALIB,565.1395,,,noCalibrationDataSet,5,150,104,45,Training,1344.917,889.1978,1428.49,993.9644
6,WITHCUSTOMCALIB,565.1425,,,noCalibrationDataSet,5,150,104,45,Training,1352.095,920.4842,1427.111,1041.911
6,WITHCUSTOMCALIB,565.1716,,,noCalibrationDataSet,5,150,104,45,Training,1352.095,920.4842,1427.111,1041.911
6,WITHCUSTOMCALIB,565.2037,,,noCalibrationDataSet,5,150,104,45,Training,1352.095,920.4842,1427.111,1041.911
6,WITHCUSTOMCALIB,565.2068,,,noCalibrationDataSet,5,150,104,45,Training,1352.095,920.4842,1427.111,1041.911
6,WITHCUSTOMCALIB,565.2404,,,noCalibrationDataSet,5,150,104,45,Training,1352.095,920.4842,1427.111,1041.911
6,WITHCUSTOMCALIB,565.272,,,noCalibrationDataSet,5,150,104,45,Training,1404.554,929.2251,1481.118,1060.005
6,WITHCUSTOMCALIB,565.2742,,,noCalibrationDataSet,5,150,104,45,Training,1410.667,929.1406,1487.721,1060.431
6,WITHCUSTOMCALIB,565.3099,,,noCalibrationDataSet,5,150,104,45,Training,1410.667,929.1406,1487.721,1060.431
6,WITHCUSTOMCALIB,565.3386,,,noCalibrationDataSet,5,150,104,45,Training,1431.534,930.5397,1509.657,1064.502
6,WITHCUSTOMCALIB,565.3417,,,noCalibrationDataSet,5,150,104,45,Training,1417.55,926.15,1496.074,1056.458
6,WITHCUSTOMCALIB,565.375,,,noCalibrationDataSet,5,150,104,45,Training,1417.55,926.15,1496.074,1056.458
6,WITHCUSTOMCALIB,565.4072,,,noCalibrationDataSet,5,150,104,45,Training,1435.653,928.4037,1514.753,1061.59
6,WITHCUSTOMCALIB,565.4111,,,noCalibrationDataSet,5,150,104,45,Training,1434.143,926.9451,1513.605,1059.205
6,WITHCUSTOMCALIB,565.4392,,,noCalibrationDataSet,5,150,104,45,Training,1434.143,926.9451,1513.605,1059.205
6,WITHCUSTOMCALIB,565.4711,,,noCalibrationDataSet,5,150,104,45,Training,1441.408,925.8706,1521.716,1058.223
6,WITHCUSTOMCALIB,565.4743,,,noCalibrationDataSet,5,150,104,45,Training,1441.408,925.8706,1521.716,1058.223
6,WITHCUSTOMCALIB,565.5121,,,noCalibrationDataSet,5,150,104,45,Training,1441.408,925.8706,1521.716,1058.223
6,WITHCUSTOMCALIB,565.54,,,noCalibrationDataSet,5,150,104,45,Training,1436.726,920.6104,1518.369,1049.715
6,WITHCUSTOMCALIB,565.5436,,,noCalibrationDataSet,5,150,104,45,Training,1440.881,921.4359,1522.553,1051.364
6,WITHCUSTOMCALIB,565.5749,,,noCalibrationDataSet,5,150,104,45,Training,1440.881,921.4359,1522.553,1051.364
6,WITHCUSTOMCALIB,565.6079,,,noCalibrationDataSet,5,150,104,45,Training,1418.276,909.8072,1501.902,1031.539
6,WITHCUSTOMCALIB,565.6115,,,noCalibrationDataSet,5,150,104,45,Training,1429.124,924.3787,1509.047,1054.797
6,WITHCUSTOMCALIB,565.6412,,,noCalibrationDataSet,5,150,104,45,Training,1422.229,921.1866,1502.66,1049.268
