Subject;trial_id;condition_id;object_number;duration;distance;hit_try;letter;input_letters;right_letters;levensthein_distance;buchstabe_1;buchstabe_2;buchstabe_3;buchstabe_4;buchstabe_5;buchstabe_6;buchstabe_7
5;10;2;3;0.7995605;90;1;A;;DCA;;;;;;;;
5;10;2;4;1.203369;-90;1;B;;DCAB;;;;;;;;
5;10;2;5;1.455566;90;1;A;;DCABA;;;;;;;;
5;10;2;6;1.277954;-144;1;B;;DCABAB;;;;;;;;
5;10;2;7;1.166992;-90;1;C;DCAABAD;DCABABC;3;1;1;1;0;0;0;0
5;1;1;1;1.411011;90;2;C;;C;;;;;;;;
5;1;1;2;2.977783;180;1;D;;CD;;;;;;;;
5;1;1;3;0.8894043;90;1;C;;CDC;;;;;;;;
5;1;1;4;2.272827;-162;2;D;;CDCD;;;;;;;;
5;1;1;5;1.945435;-144;1;B;;CDCDB;;;;;;;;
5;1;1;6;1.195313;126;1;D;;CDCDBD;;;;;;;;
5;1;1;7;0.6895752;90;1;D;CDCDBCD;CDCDBDD;1;1;1;1;1;1;0;1
5;2;1;1;1.066406;-108;1;D;;D;;;;;;;;
5;2;1;2;1.289795;126;1;D;;DD;;;;;;;;
5;2;1;3;2.355713;108;2;A;;DDA;;;;;;;;
5;2;1;4;1.388306;126;1;B;;DDAB;;;;;;;;
5;2;1;5;0.8250732;72;1;D;;DDABD;;;;;;;;
5;2;1;6;2.977905;-144;2;D;;DDABDD;;;;;;;;
5;2;1;7;0.9772949;108;1;D;DDABDDD;DDABDDD;0;1;1;1;1;1;1;1
5;3;1;1;0.9343262;90;1;B;;B;;;;;;;;
5;3;1;2;1.339111;-144;1;C;;BC;;;;;;;;
5;3;1;3;1.766968;-126;1;B;;BCB;;;;;;;;
5;3;1;4;1.077026;126;1;D;;BCBD;;;;;;;;
5;3;1;5;2.104614;90;2;D;;BCBDD;;;;;;;;
5;3;1;6;1.222168;108;1;C;;BCBDDC;;;;;;;;
5;3;1;7;1.387329;-108;1;D;BCBDDCD;BCBDDCD;0;1;1;1;1;1;1;1
5;4;1;1;1.299316;144;1;C;;C;;;;;;;;
5;4;1;2;0.9885254;-90;1;A;;CA;;;;;;;;
5;4;1;3;0.9108887;90;1;C;;CAC;;;;;;;;
5;4;1;4;1.12207;108;1;A;;CACA;;;;;;;;
5;4;1;5;3.212036;-126;1;D;;CACAD;;;;;;;;
5;4;1;6;0.78479;-90;1;B;;CACADB;;;;;;;;
5;4;1;7;1.5625;-144;1;A;CACADBA;CACADBA;0;1;1;1;1;1;1;1
5;5;1;1;1.900024;-144;1;D;;D;;;;;;;;
5;5;1;2;1.004395;108;1;B;;DB;;;;;;;;
5;5;1;3;4.322388;108;2;D;;DBD;;;;;;;;
5;5;1;4;1.10022;108;1;A;;DBDA;;;;;;;;
5;5;1;5;2.455444;162;2;C;;DBDAC;;;;;;;;
5;5;1;6;2.84436;-162;2;C;;DBDACC;;;;;;;;
5;5;1;7;1.288208;-162;1;D;DBDACCD;DBDACCD;0;1;1;1;1;1;1;1
